"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,         276,      -4.029107838,       -1.53194388,      -1.886906985,       0.811964653
          0,           0,         277,      -4.029144416,      -1.526246131,      -1.907574151,       0.855277503
          0,           0,         278,      -4.035265554,      -1.524503947,      -1.904410713,       0.818044796
          0,           0,         279,      -4.033223486,      -1.518676805,      -1.882856897,      0.8172919944
          0,           0,         280,      -4.031127474,      -1.512097137,      -1.903990324,      0.8756767389
          0,           0,         281,      -4.035193526,      -1.509486238,      -1.899930631,      0.8450832032
          0,           0,         282,      -4.031425578,      -1.503856121,      -1.879623942,      0.8415998279
          0,           0,         283,      -4.028714033,      -1.497522387,      -1.899254098,      0.9045391092
          0,           0,         284,      -4.029577141,      -1.495190521,      -1.892699685,      0.8805736506
          0,           0,         285,      -4.023328053,      -1.490814383,      -1.868789427,      0.8703096027
          0,           0,         286,      -4.020112151,      -1.483304449,      -1.885465974,      0.9502922401
          0,           0,         287,       -4.01939687,      -1.482670402,      -1.873604112,      0.9166043942
          0,           0,         288,      -4.013571706,      -1.479785293,      -1.845275595,      0.8906957905
          0,           0,         289,       -4.00965791,      -1.472471176,       -1.85684338,      0.9758546549
          0,           0,         290,      -4.009930692,      -1.476171531,      -1.842249082,      0.9305276983
          0,           0,         291,      -4.005060383,      -1.475906653,      -1.822592621,      0.9170360121
          0,           0,         292,      -4.001055619,      -1.471609828,      -1.829899591,      0.9761539648
          0,           0,         293,      -4.008110503,      -1.481265583,      -1.829767707,      0.9032743548
          0,           0,         294,       -4.00306912,      -1.479393581,      -1.812392296,      0.8912269984
          0,           0,         295,      -3.999484793,      -1.478418548,      -1.818512082,      0.9344004592
          0,           0,         296,      -4.006378044,      -1.487540832,      -1.821719668,      0.8650211609
          0,           0,         297,      -4.000719987,      -1.484283539,      -1.806838348,      0.8706710881
          0,           0,         298,      -3.999419016,      -1.486615943,      -1.812611092,      0.8680514647
          0,           0,         299,      -4.000883205,      -1.491557377,      -1.814311604,      0.8514611284
          0,           0,         300,      -3.995063695,      -1.488346938,      -1.802930069,      0.8710900282
          0,           0,         301,       -3.99561784,      -1.491436615,      -1.814380308,      0.8410632773
          0,           0,         302,      -3.995004652,      -1.493016931,      -1.816146445,      0.8412275113
          0,           0,         303,       -3.99117089,      -1.491736357,      -1.809751883,        0.86503181
          0,           0,         304,      -3.993249956,        -1.4933044,      -1.825227867,      0.8228725535
          0,           0,         305,      -3.992109936,      -1.493710016,      -1.825831902,      0.8389853637
          0,           0,         306,      -3.989310776,      -1.493984327,       -1.82055816,      0.8710426286
          0,           0,         307,      -3.992123767,      -1.493221057,      -1.837475186,      0.8434782258
          0,           0,         308,      -3.990811579,      -1.492670282,      -1.834350694,      0.8695696304
          0,           0,         309,      -3.989053503,      -1.493863004,      -1.827610589,      0.9023739682
          0,           0,         310,      -3.992794196,      -1.488006829,      -1.849332969,        0.89530601
          0,           0,         311,      -3.990194183,      -1.483333084,      -1.839165144,       0.914203325
          0,           0,         312,      -3.990089161,      -1.482999598,      -1.827173161,      0.9431660426
          0,           0,         313,       -3.99002575,      -1.468156238,      -1.853641161,      0.9771540273
          0,           0,         314,      -3.984329508,      -1.457225021,      -1.831741798,       0.981286925
          0,           0,         315,      -3.983162315,      -1.452903631,      -1.807685217,      0.9906570314
          0,           0,         316,      -3.976116613,      -1.428490586,      -1.835641374,       1.067191325
          0,           0,         317,      -3.971862593,      -1.414769257,      -1.810349751,       1.055656108
          0,           0,         318,      -3.972257091,       -1.40947047,      -1.777947227,       1.041173609
          0,           0,         319,      -3.961140384,      -1.381965232,      -1.816852385,       1.130780367
          0,           0,         320,      -3.958997029,      -1.367705996,      -1.792045638,       1.114699275
          0,           0,         321,      -3.956398178,      -1.362572454,      -1.746863417,       1.123890195
          0,           0,         322,      -3.952903485,      -1.338817215,      -1.811579907,        1.18029604
          0,           0,         323,       -3.95152026,      -1.326592499,      -1.777427043,       1.161264964
          0,           0,         324,      -3.952800859,      -1.322772706,       -1.71580957,       1.162506562
